price,area,rooms,floor,total_floors,building_year,elevator,terrace,parking,price_per_m2,building_age,floor_ratio,city_Beograd,municipality_Barajevo,municipality_Grocka,municipality_Mladenovac,municipality_Novi Beograd,municipality_Obrenovac,municipality_Palilula,municipality_Rakovica,municipality_Savski Venac,municipality_Sopot,municipality_Stari Grad,municipality_Surčin,municipality_Voždovac,municipality_Vračar,municipality_Zemun,municipality_Zvezdara,municipality_unknown,municipality_Čukarica
210000.0,59.0,2.0,1.0,2.0,,0,0,0,3559.322033898305,,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80000.0,19.0,1.0,,4.0,,0,0,0,4210.526315789473,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
350000.0,80.0,3.0,2.0,6.0,,1,1,0,4375.0,,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
135000.0,27.0,1.0,2.0,4.0,2005.0,0,0,0,5000.0,21.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
320000.0,53.0,2.0,1.0,8.0,2026.0,1,1,1,6037.735849056604,0.0,0.125,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
660000.0,136.0,3.0,2.0,2.0,2007.0,1,1,1,4852.941176470588,19.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
225000.0,76.0,3.0,1.0,7.0,,1,1,1,2960.5263157894738,,0.14285714285714285,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
400000.0,58.0,2.0,,10.0,,1,0,1,6896.551724137931,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
499000.0,93.0,3.0,5.0,17.0,,1,1,1,5365.591397849463,,0.29411764705882354,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87300.0,39.0,2.0,1.0,2.0,2026.0,0,1,1,2238.4615384615386,0.0,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
260400.0,74.0,3.0,6.0,6.0,,1,1,1,3518.9189189189187,,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
157000.0,84.0,2.0,2.0,2.0,1970.0,0,1,1,1869.047619047619,56.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
374000.0,117.0,4.0,8.0,8.0,2025.0,1,1,1,3196.5811965811968,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
